"effect_size_id","k","r","cilb","ciub","p","i2","n","sig999"
"37477_028",9,0.430190210901236,0.291317939985035,0.569062481817437,1.26753207118432e-09,91.1522289986917,1174,TRUE
"37402_009",73,0.0687013198491637,0.0472562386923393,0.090146401005988,3.40916223258607e-10,81.5830959681386,56891,TRUE
"35660_003",33,0.113697770032504,0.0525850507954478,0.174810489269561,0.000265904105089632,88.2276755949784,9525,TRUE
"34670_003",38,0.0848634913236956,0.0480276125692976,0.121699370078094,6.31920228588559e-06,85.6450979593337,26411,TRUE
"34220_002",23,-0.0869708091101176,-0.129850471390256,-0.0440911468299796,7.02896836415397e-05,96.3235276619969,86507,TRUE
"20223_015",50,0.107925978054372,0.0463768734861652,0.169475082622579,0.000588663007673928,56.9762037376541,2288,TRUE
"20746_001",2,0.0137419070086074,-0.174115855355793,0.201599669373008,0.885995976094495,0,109,FALSE
"20746_003",7,0.226754843388374,0.104251562301181,0.349258124475567,0.000285720774588089,43.1974199725307,401,TRUE
"47783_022",12,0.148443462459183,0.0157446134429689,0.281142311475397,0.028342545995168,95.9791802486038,6083,FALSE
"47783_010",5,-0.188104212757417,-0.312390704997985,-0.0638177205168502,0.00301355382968369,70.7369322908373,2792,FALSE
"47783_015",13,0.131004151848905,0.028661911472259,0.233346392225551,0.0121117905978326,81.2516361548898,1955,FALSE
"47769_001",68,0.205282784378542,0.134639134706517,0.275926434050568,1.23052154993874e-08,87.1636639251986,3540,TRUE
"47769_004",14,0.21308537220379,0.114877994233609,0.311292750173972,2.11274365204272e-05,52.4301776687269,800,TRUE
"47769_005",13,0.184890774413569,-0.0260212452837527,0.39580279411089,0.085768591098401,92.5266539995176,571,FALSE
"47769_006",11,0.154269325322976,0.0220399604841979,0.286498690161754,0.0222162406760563,70.7421359529662,693,FALSE
"47769_007",19,0.199704451517985,0.0447935184828744,0.354615384553097,0.0115139644179546,90.2566928658865,948,FALSE
"47769_008",11,0.265508772080232,0.0896394585916666,0.441378085568797,0.00308694161737822,85.1339043898254,528,FALSE
"7374_019",22,0.0370196761678274,0.00166337442403128,0.0723759779116234,0.0401528959113564,73.8803148697372,12107,FALSE
"7374_031",16,0.0781045131416667,0.0365832802287274,0.119625746054606,0.000227058368166417,84.9504750370774,17019,TRUE
"7374_033",25,0.0820741776157872,0.0517699535803001,0.112378401651274,1.10682062984352e-07,75.0838124335513,18127,TRUE
"6524_006",6,0.0268719382254803,-0.0166727469949067,0.0704166234458673,0.226464336130503,42.9998248117161,5633,FALSE
"6524_007",8,0.0317554234904735,0.00633250325935321,0.0571783437215938,0.0143586153064752,0.0790128777910249,5945,FALSE
"6524_008",2,0.0394362183285762,0.00602271283490065,0.0728497238222517,0.0207092663060718,0,3432,FALSE
"6524_009",1,0.04,0.00583750759366156,0.0741624924063384,0.021740440562675,0,3282,FALSE
"6524_012",3,0.0920727416298843,-0.0109420333649768,0.195087516624745,0.0798115860557975,72.5991893339868,1729,FALSE
"6524_011",8,0.05929313719471,-0.00168513511852664,0.120271409507947,0.0566761120012238,90.0397487517152,11712,FALSE
"6524_013",6,0.106656611396124,0.0534638645348283,0.15984935825742,8.49749438050605e-05,67.007777236985,5916,TRUE
"6524_014",3,0.130843120321732,0.105073875750482,0.156612364892982,2.47910324105399e-23,0,5590,TRUE
"6524_015",2,0.132155980050854,0.0165403026870228,0.247771657414685,0.0250674361755493,93.9732478400028,5063,FALSE
"6524_016",4,0.201136543420776,0.10794792328138,0.294325163560171,2.33329081255896e-05,86.1239050208206,3867,TRUE
"48113_014",8,0.131362297221683,0.035471921740824,0.227252672702543,0.00725304550009013,91.6088247821159,5538,FALSE
"47783_016",7,0.137889650970768,-0.0379230873762797,0.313702389317815,0.124245164180412,90.0893952443819,1228,FALSE
"47491_002",4,0.158929859913371,0.0855444467194613,0.23231527310728,2.18916152080193e-05,55.7982450235897,1868,TRUE
"47491_001",4,0.116569803681436,-0.0510525274174689,0.284192134780341,0.172876156428542,82.5056560002435,955,FALSE
"47448_004",4,-0.108823411065269,-0.263094543486985,0.0454477213564469,0.166798091853949,93.1073871292995,3803,FALSE
"37768_004",5,0.275740426252323,0.178649723014685,0.372831129489961,2.60123300642539e-08,0,348,TRUE
"19816_131",8,0.220628464485483,0.121044831020007,0.320212097950959,1.40987006765899e-05,47.9888581527882,710,TRUE
"19816_122",4,-0.200111614713101,-0.637610520381066,0.237387290954863,0.36999335940739,99.0105305410642,2298,FALSE
"8556_138",4,0.149317633914743,0.0425313104928052,0.256103957336682,0.00613295867659497,77.3181172633106,2047,FALSE
"8556_119",12,0.0623415704666684,0.0278318085522263,0.0968513323811105,0.000399131968120245,0.0408656709559111,3196,TRUE
"51998_003",7,0.154525051220286,0.0288063777772604,0.280243724663311,0.0159937702629301,69.7674983125913,913,FALSE
"51998_001",5,0.152585765508302,0.0216288521548613,0.283542678861743,0.0223908288607585,38.8874916634665,391,FALSE
"51998_002",4,0.201506719872241,0.0925699805836934,0.310443459160789,0.000288446285751341,0,298,TRUE
"52765_001",3,0.053755521909478,-0.0449715817902358,0.152482625609192,0.285893779670329,88.9676351837441,6773,FALSE
"52765_002",3,0.053755521909478,-0.0449715817902358,0.152482625609192,0.285893779670329,88.9676351837441,6773,FALSE
"52765_004",3,0.053755521909478,-0.0449715817902358,0.152482625609192,0.285893779670329,88.9676351837441,6773,FALSE
"52765_005",3,0.053755521909478,-0.0449715817902358,0.152482625609192,0.285893779670329,88.9676351837441,6773,FALSE
